Movie Name,IMDB Rating,Description,Votes,Director(s),Stars,Metascore,Movie Genre,Total Duration
Tenet,7.3,"Armed with only one word, Tenet, and fighting for the survival of the entire world, a Protagonist journeys through a twilight world of international espionage on a mission that will unfold in something beyond real time.","496,092",['Christopher Nolan'],"['John David Washington', 'Robert Pattinson', 'Elizabeth Debicki', 'Juhan Ulfsak']",69,"Action, Sci-Fi, Thriller",150 min
The Queen's Gambit,8.6,"Orphaned at the tender age of nine, prodigious introvert Beth Harmon discovers and masters the game of chess in 1960s USA. But child stardom comes at a price.","439,068",,"['Anya Taylor-Joy', 'Chloe Pirrie', 'Bill Camp', 'Marcin Dorocinski']",,Drama,60 min
Soul,8.0,"After landing the gig of a lifetime, a New York jazz pianist suddenly finds himself trapped in a strange land between Earth and the afterlife.","325,652","['Pete Docter', 'Kemp Powers']","['Jamie Foxx', 'Tina Fey', 'Graham Norton', 'Rachel House']",83,"Animation, Adventure, Comedy",100 min
Wonder Woman 1984,5.4,"Diana must contend with a work colleague, and with a businessman whose desire for extreme wealth sends the world down a path of destruction, after an ancient artifact that grants wishes goes missing.","265,258",['Patty Jenkins'],"['Gal Gadot', 'Chris Pine', 'Kristen Wiig', 'Pedro Pascal']",60,"Action, Adventure, Fantasy",151 min
Birds of Prey,6.0,"After splitting with the Joker, Harley Quinn joins superheroines Black Canary, Huntress and Renee Montoya to save a young girl from an evil crime lord.","237,608",['Cathy Yan'],"['Margot Robbie', 'Rosie Perez', 'Mary Elizabeth Winstead', 'Jurnee Smollett']",60,"Action, Adventure, Comedy",109 min
The Invisible Man,7.1,"When Cecilia's abusive ex takes his own life and leaves her his fortune, she suspects his death was a hoax. As a series of coincidences turn lethal, Cecilia works to prove that she is being hunted by someone nobody can see.","227,206",['Leigh Whannell'],"['Elisabeth Moss', 'Oliver Jackson-Cohen', 'Harriet Dyer', 'Aldis Hodge']",72,"Drama, Horror, Mystery",124 min
A Quiet Place Part II,7.2,"Following the events at home, the Abbott family now face the terrors of the outside world. Forced to venture into the unknown, they realize the creatures that hunt by sound are not the only threats lurking beyond the sand path.","224,483",['John Krasinski'],"['Emily Blunt', 'Millicent Simmonds', 'Cillian Murphy', 'John Krasinski']",71,"Drama, Horror, Sci-Fi",97 min
Ted Lasso,8.8,"American college football coach Ted Lasso heads to London to manage AFC Richmond, a struggling English Premier League football team.","207,099",,"['Jason Sudeikis', 'Brett Goldstein', 'Brendan Hunt', 'Nick Mohammed']",,"Comedy, Drama, Sport",30 min
Extraction,6.7,"Tyler Rake, a fearless black market mercenary, embarks on the most deadly extraction of his career when he's enlisted to rescue the kidnapped son of an imprisoned international crime lord.","201,921",['Sam Hargrave'],"['Chris Hemsworth', 'Bryon Lerum', 'Ryder Lerum', 'Rudhraksh Jaiswal']",56,"Action, Thriller",116 min
The Trial of the Chicago 7,7.7,"The story of 7 people on trial stemming from various charges surrounding the uprising at the 1968 Democratic National Convention in Chicago, Illinois.","176,611",['Aaron Sorkin'],"['Eddie Redmayne', 'Alex Sharp', 'Sacha Baron Cohen', 'Jeremy Strong']",76,"Drama, History, Thriller",129 min
Enola Holmes,6.6,"When Enola Holmes-Sherlock's teen sister-discovers her mother is missing, she sets off to find her, becoming a super-sleuth in her own right as she outwits her famous brother and unravels a dangerous conspiracy around a mysterious young Lord.","172,378",['Harry Bradbeer'],"['Millie Bobby Brown', 'Henry Cavill', 'Sam Claflin', 'Helena Bonham Carter']",68,"Action, Adventure, Crime",123 min
Promising Young Woman,7.5,"A young woman, traumatized by a tragic event in her past, seeks out vengeance against those who crossed her path.","171,085",['Emerald Fennell'],"['Carey Mulligan', 'Bo Burnham', 'Alison Brie', 'Clancy Brown']",73,"Crime, Drama, Mystery",113 min
The Old Guard,6.6,A covert team of immortal mercenaries is suddenly exposed and must now fight to keep their identity a secret just as an unexpected new member is discovered.,"164,162",['Gina Prince-Bythewood'],"['Charlize Theron', 'KiKi Layne', 'Matthias Schoenaerts', 'Marwan Kenzari']",70,"Action, Thriller",125 min
Bad Boys for Life,6.5,Miami detectives Mike Lowrey and Marcus Burnett must face off against a mother-and-son pair of drug lords who wreak vengeful havoc on their city.,"160,380","['Adil El Arbi', 'Bilall Fallah']","['Will Smith', 'Martin Lawrence', 'Vanessa Hudgens', 'Alexander Ludwig']",59,"Action, Comedy, Crime",124 min
Nomadland,7.3,"A woman in her sixties, after losing everything in the Great Recession, embarks on a journey through the American West, living as a van-dwelling modern-day nomad.","159,705",['Chloé Zhao'],"['Frances McDormand', 'David Strathairn', 'Linda May', 'Gay DeForest']",93,Drama,107 min
Palm Springs,7.4,"Stuck in a time loop, two wedding guests develop a budding romance while living the same day over and over again.","158,234",['Max Barbakow'],"['Andy Samberg', 'Cristin Milioti', 'J.K. Simmons', 'Peter Gallagher']",83,"Comedy, Fantasy, Mystery",90 min
Another Round,7.7,Four high-school teachers consume alcohol on a daily basis to see how it affects their social and professional lives.,"155,178",['Thomas Vinterberg'],"['Mads Mikkelsen', 'Thomas Bo Larsen', 'Magnus Millang', 'Lars Ranthe']",79,"Comedy, Drama",117 min
The Father,8.2,"A man refuses all assistance from his daughter as he ages. As he tries to make sense of his changing circumstances, he begins to doubt his loved ones, his own mind and even the fabric of his reality.","150,450",['Florian Zeller'],"['Anthony Hopkins', 'Olivia Colman', 'Mark Gatiss', 'Olivia Williams']",88,"Drama, Mystery",97 min
Onward,7.4,Two elven brothers embark on a quest to bring their father back for one day.,"148,628",['Dan Scanlon'],"['Tom Holland', 'Chris Pratt', 'Julia Louis-Dreyfus', 'Octavia Spencer']",61,"Animation, Adventure, Comedy",102 min
Mulan,5.7,A young Chinese maiden disguises herself as a male warrior in order to save her father.,"147,991",['Niki Caro'],"['Liu Yifei', 'Donnie Yen', 'Gong Li', 'Jet Li']",66,"Action, Adventure, Drama",115 min
Scam 1992: The Harshad Mehta Story,9.3,"Set in 1980s and '90s Bombay, it follows the life of Harshad Mehta, a stockbroker who took the stock market to dizzying heights and his catastrophic downfall.","143,531",,"['Pratik Gandhi', 'Shreya Dhanwanthary', 'Hemant Kher', 'Anjali Barot']",,"Biography, Crime, Drama",54 min
Borat Subsequent Moviefilm,6.6,"Borat returns from Kazakhstan to America and this time he reveals more about the American culture, the COVID-19 pandemic and the political elections.","140,724",['Jason Woliner'],"['Sacha Baron Cohen', 'Maria Bakalova', 'Tom Hanks', 'Dani Popescu']",68,Comedy,95 min
Sonic the Hedgehog,6.5,"After discovering a small, blue, fast hedgehog, a small-town police officer must help him defeat an evil genius who wants to do experiments on him.","139,084",['Jeff Fowler'],"['Ben Schwartz', 'James Marsden', 'Jim Carrey', 'Tika Sumpter']",47,"Action, Adventure, Comedy",99 min
Bridgerton,7.4,"Wealth, lust, and betrayal set against the backdrop of Regency-era England, seen through the eyes of the powerful Bridgerton family.","134,896",,"['Nicola Coughlan', 'Luke Thompson', 'Jonathan Bailey', 'Bessie Carter']",,"Drama, History, Romance",60 min
The Devil All the Time,7.1,Sinister characters converge around a young man devoted to protecting those he loves in a postwar backwoods town teeming with corruption and brutality.,"134,428",['Antonio Campos'],"['Bill Skarsgård', 'Tom Holland', 'Banks Repeta', 'Emilio Subercaseaux Campos']",55,"Crime, Drama, Thriller",138 min
I Care a Lot,6.3,A crooked legal guardian who drains the savings of her elderly wards meets her match when a woman she tries to swindle turns out to be more than she first appears.,"132,588",['J Blakeson'],"['Rosamund Pike', 'Peter Dinklage', 'Eiza González', 'Dianne Wiest']",66,"Comedy, Crime, Drama",118 min
Dil Bechara,8.1,"The emotional journey of two hopelessly-in-love youngsters; a young girl, Kizie, who is suffering from cancer; and Manny, a boy Kizie meets at a support group.","130,904",['Mukesh Chhabra'],"['Sushant Singh Rajput', 'Sanjana Sanghi', 'Sahil Vaid', 'Saswata Chatterjee']",,"Comedy, Drama, Romance",101 min
Love and Monsters,6.9,"Seven years after he survived the monster apocalypse, lovably hapless Joel leaves his cozy underground bunker behind on a quest to reunite with his ex.","127,141",['Michael Matthews'],"[""Dylan O'Brien"", 'Jessica Henwick', 'Michael Rooker', 'Dan Ewing']",63,"Action, Adventure, Comedy",109 min
The Last Dance,9.1,"Charting the rise of the 1990s Chicago Bulls, led by Michael Jordan, one of the most notable dynasties in sports history.","121,574",,"['Michael Jordan', 'Phil Jackson', 'Scottie Pippen', 'David Aldridge']",,"Documentary, Biography, History",491 min
Greenland,6.4,A family struggles for survival in the face of a cataclysmic natural disaster.,"116,714",['Ric Roman Waugh'],"['Gerard Butler', 'Morena Baccarin', 'Roger Dale Floyd', 'Scott Glenn']",64,"Action, Thriller",119 min
Soorarai Pottru,8.7,"Nedumaaran Rajangam ""Maara"" sets out to make the common man fly and in the process takes on the world's most capital intensive industry and several enemies who stand in his way.","115,907",['Sudha Kongara'],"['Suriya', 'Achyuth Kumar', 'Paresh Rawal', 'Aparna Balamurali']",,Drama,153 min
The Hunt,6.5,"Twelve strangers wake up in a clearing. They don't know where they are, or how they got there. They don't know they've been chosen - for a very specific purpose - The Hunt.","114,269",['Craig Zobel'],"['Betty Gilpin', 'Hilary Swank', 'Ike Barinholtz', 'Wayne Duvall']",50,"Action, Horror, Thriller",90 min
The Haunting of Bly Manor,7.3,"After an au pair’s tragic death, Henry hires a young American nanny to care for his orphaned niece and nephew who reside at Bly Manor with the chef Owen, groundskeeper Jamie and housekeeper, Mrs. Grose.","104,467",,"['Victoria Pedretti', 'Oliver Jackson-Cohen', 'Amelia Eve', ""T'Nia Miller""]",,"Drama, Horror, Mystery",494 min
Greyhound,7.0,"Several months after the U.S. entry into World War II, an inexperienced U.S. Navy commander must lead an Allied convoy being stalked by a German submarine wolf pack.","97,041",['Aaron Schneider'],"['Tom Hanks', 'Elisabeth Shue', 'Stephen Graham', 'Matt Helm']",64,"Action, Drama, History",91 min
Sadak 2,1.1,"The film picks up where Sadak left off, revolving around the journey with a young girl who becomes an important character in the life of the protagonist, and the reason for him to stay alive.","95,895",['Mahesh Bhatt'],"['Alia Bhatt', 'Priyanka Bose', 'Sanjay Dutt', 'Aditya Roy Kapoor']",,"Action, Drama",133 min
Eurovision Song Contest: The Story of Fire Saga,6.5,"When aspiring musicians Lars and Sigrit are given the opportunity to represent their country at the world's biggest song competition, they finally have a chance to prove that any dream worth having is a dream worth fighting for.","94,136",['David Dobkin'],"['Will Ferrell', 'Rachel McAdams', 'Dan Stevens', 'Mikael Persbrandt']",50,"Comedy, Musical",123 min
Hamilton,8.4,"The real life of one of America's foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast.","93,459",['Thomas Kail'],"['Lin-Manuel Miranda', 'Phillipa Soo', 'Leslie Odom Jr.', 'Renée Elise Goldsberry']",90,"Biography, Drama, History",160 min
The Undoing,7.4,"A modern twist to a classical ""whodunnit"" tale, when the life of a wealthy New York therapist turns upside down after she and her family get involved with a murder case.","91,635",,"['Nicole Kidman', 'Hugh Grant', 'Noah Jupe', 'Edgar Ramírez']",,"Crime, Drama, Mystery",337 min
Emily in Paris,6.9,A young American woman from the Midwest is hired by a marketing firm in Paris to provide them with an American perspective on things.,"89,970",,"['Lily Collins', 'Philippine Leroy-Beaulieu', 'Ashley Park', 'Lucas Bravo']",,"Comedy, Drama, Romance",30 min
365 Days,3.3,"Massimo is a member of the Sicilian Mafia family and Laura is a sales director. She does not expect that on a trip to Sicily trying to save her relationship, Massimo will kidnap her and give her 365 days to fall in love with him.","89,845","['Barbara Bialowas', 'Tomasz Mandes']","['Anna-Maria Sieklucka', 'Michele Morrone', 'Bronislaw Wroclawski', 'Otar Saralidze']",,"Drama, Romance",114 min
